MES,LOC,CLASSES,METODOS,CLASSE DEUS,METODO DEUS
1,2115,9,192,1,1
2,2115,9,192,1,1
3,2115,9,192,1,1
4,2387,9,210,1,2
5,2356,9,208,1,2
6,2356,9,208,1,2
7,2510,9,219,2,2
8,2348,9,206,1,2
9,2356,9,206,1,2
10,2356,9,206,1,2
11,2051,7,172,0,2
12,2051,7,172,0,2
13,2048,7,172,0,2
14,2048,7,172,0,2
15,2083,7,173,0,1
16,2083,7,173,0,1
17,2143,7,171,0,1
18,2143,7,171,0,1
19,1909,7,155,0,1
20,1909,7,155,0,1
21,1909,7,155,0,1
22,1909,7,155,0,1
23,1909,7,155,0,1
24,1820,6,156,0,1
25,1826,6,157,0,1
26,1826,6,157,0,1
27,1826,6,157,0,1